"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 22:30:43 EST 2023","Fri Jan 06 22:30:45 EST 2023","1927","test","test_login","","","","test_login_successfully",""
"broken","Fri Jan 06 22:25:25 EST 2023","Fri Jan 06 22:25:25 EST 2023","0","","test_login","","","","test_verify_user_should_not_login_with_invalid_credential",""
"broken","Fri Jan 06 22:31:03 EST 2023","Fri Jan 06 22:31:03 EST 2023","0","test","test_login","","","","test_verify_user_should_not_login_with_invalid_credential",""
"passed","Fri Jan 06 22:53:27 EST 2023","Fri Jan 06 22:53:28 EST 2023","1385","","test_login_test","TestLogin","","","test_login_verify_error_message_for_invalid_credential",""
"passed","Fri Jan 06 22:31:17 EST 2023","Fri Jan 06 22:31:18 EST 2023","723","test","test_login_test","TestLogin","","","test_verify_user_should_login_successfully",""
"passed","Fri Jan 06 22:53:24 EST 2023","Fri Jan 06 22:53:24 EST 2023","786","","test_login_test","TestLogin","","","test_verify_user_should_login_successfully",""
"passed","Fri Jan 06 22:53:24 EST 2023","Fri Jan 06 22:53:27 EST 2023","2552","","test_login_test","TestLogin","","","test_verify_user_should_logout_successfully",""
"passed","Fri Jan 06 22:25:05 EST 2023","Fri Jan 06 22:25:06 EST 2023","1797","","test_login","","","","test_login_successfully",""
"passed","Fri Jan 06 22:31:21 EST 2023","Fri Jan 06 22:31:22 EST 2023","1321","test","test_login_test","TestLogin","","","test_login_verify_error_message_for_invalid_credential",""
"passed","Fri Jan 06 22:31:18 EST 2023","Fri Jan 06 22:31:21 EST 2023","2683","test","test_login_test","TestLogin","","","test_verify_user_should_logout_successfully",""
